Sample_ID,Collection,Coll_No,Plot_unit,Feature_Type,Feature_Name,Top_Depth,Bottom_Depth,Field_Number,Collection_Date,Date_Rounding,Collectors,Country_Name,NZMG_Sheet,NZMG_East,NZMG_North,Latitude,Longitude,Method,Accuracy,Site_Description,In_Situ,Rock_Description,Colour,Litho2014_strat_name,Informal_strat_unit,Rock_Types,Age_Min,Age_Max,Sample_Types,Lab_Sample_ID(s),Material(s),Part_Analysed,Analysis_ID(s),Investigator(s),Analysis_Method(s),Geochron_Method(s),Laboratory(s),Lab_Number(s),Analysis_Date(s),Analysis_Date_Rounding(s),Analysis_Publication(s),Analysis_Bib_Ref(s),Analysis_Comment(s),age_sample_result_Ma,age_sample_2sig_err_abs,SiO2,TiO2,Al2O3,FeOT,Fe2O3T,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,H2O_plus,H2O_minus,CO2,LOl,Majors_total,As,Ba,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr,He4_raw_nnc,He4_corr_nnc,He_R_Ra_raw,He_R_Ra_corr,He_R_Ra_cor_err,dO18,Rb87_Sr86,Sr87_Sr86,Sr87_Sr86_err_abs,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144_err_abs,Lu176_Hf177,Hf176_Hf177,Hf176_Hf177_err_abs,Pb206_Pb204,Pb206_Pb204_err_abs,Pb207_Pb204,Pb207_Pb204_err_abs,Pb208_Pb204,Pb208_Pb204_err_abs,age_model_assumed_Ma,Sr87_86i_calc,Nd143_144i_calc,eNdi_calc,Hf176_177i_calc,eHfi_calc,Pb206_204i_calc,Pb207_204i_calc,Pb208_204i_calc,Petlab notes,Age_Num,Age,ReconLon,ReconLat,ReconAge,ReconPlateID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,gridslabtop,gridslabage,gridslabdip,gridslabthick,gridslabvel,gridslabsubage
106578,INS R (R),3906,Horomaka,Surface,,,,,28856,Decade,"Oliver, P.J.",New Zealand,J36,2367100.00000061,5727199.99997086,-43.6507082567863,171.22831163051,,50.0,"Ashburton Gorge Rd, Mt Somers-Clent Hills",Yes,andesite,,Mount Somers Volcanics Group,Cover Mount Somers Volcanics,andesitic,Cretaceous,Cretaceous,hand specimen,1626,whole rock,1,15914,"Adams, C.J.",geochron methods,K-Ar,INS,R3906,"January 1, 1979",Decade,Adams & Oliver 1979,,,45.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,1,171.69650328623828,-43.8440392207115,1.0,813.0,109.69253540039062,8.954369150160346e-06,6.194805430936867e-05,3.866585757350549e-06,4.997844280296704e-05,7.157688742154278e-06,6.14043580231538e-05,0.0,3.834583322441194e-05,230.0,0.0,0.0,0.0,0.0,58.399691422610445
106882,ANU (GA),2895,Horomaka,Surface,,,,,1968-01-01 00:00:00,Decade,"Stipp, J.J.",New Zealand,R11,2679506.00000122,6488366.00005696,-36.7923154686128,174.894551983845,,50.0,"Rangitoto, Auckland",Yes,basalt,,Auckland Basalts,Auckland Volcanic Field,basaltic,Quaternary,Quaternary,hand specimen,1663,whole rock,,16336;16337;16335,"Stipp, J.J.;Stipp, J.J.;McDougall, I.",geochron methods;geochron methods;geochron methods,K-Ar;K-Ar;K-Ar,ANU;ANU;ANU,GA2895;GA2895;GA2895,"January 1, 1968;January 1, 1968;January 1, 1969",Decade;Decade;Decade,Stipp 1968;;McDougall et al. 1969,,,0.403,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,2,174.86992642954283,-37.38305891728514,2.0,8065.0,23.674510955810547,6.030015356373042e-06,8.480419865009026e-05,4.35793845099397e-06,5.187904162085033e-05,4.0621049265610054e-05,0.00016803906510176603,0.0,1.9757868670276384e-05,210.0,84.91511535644531,30.619508743286133,106904.984375,0.04338466376066208,41.34983311256331
106975,other,AK-72-iso,Horomaka,Surface,,,,,1993-01-01 00:00:00,Decade,"Baksi, A.K.",New Zealand,N36,2510099.99999997,5712099.99996901,-43.8002025905872,173.000959571891,,50.0,Akaroa Volcano,Yes,lava flow straddling lower (R over N) chron 5(y) transition,,Akaroa Volcanic Group,Akaroa,basaltic & lava flow,Miocene,Miocene,virtual aggregated sample,1672,whole rock,,16452,"Baksi, A.K.",gas spectrometry,Ar-Ar,Queens U,,"January 1, 1993",Decade,Baksi et al. 1993,,isochron from AKB72-,9.56,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,2,173.94775161733992,-44.198462593667905,2.0,813.0,122.63856506347656,9.12092855287483e-06,4.8295320993929636e-05,3.7296626942406874e-06,2.6101844014192466e-05,0.00017294865392614156,6.180418722578906e-05,0.0,1.6413704678553316e-05,250.0,50.37015914916992,26.130393981933594,89799.40625,0.02505817636847496,61.385598157297174
100549,GNS P (P),78622,Arc,Dredge,GEORSTOM3-316,,,GEORSTOM3-316D23,25933,Year,ORSTOM,Offshore Regions,,,,-15.4686219899011,164.57315431817,,1000.0,"D'Entrecasteaux Zone, eastern part. GEORSTOM-3 NORD dredge site 316",Yes,"Basalt, strongly clay altered. 1cm Mn rind.",5.0 Y 5/1,,,basaltic & retrograde/altered,Miocene,Cretaceous,hand specimen & normal thin section & powder,6162,whole rock,,73768;139967;73748;75167,"Mortimer, N.;Mortimer, N.;Mortimer, N.;Mortimer, N.",ICP-MS laser;ICP-MS multi-collector;XRF;XRF,Ar-Ar matrix,Otago U;Otago U;Otago U;Otago U,;;;,"January 8, 2010;January 1, 2018;January 25, 2010;January 28, 2010",;Year;;,Mortimer et al 2014 Tectonics,,High quality,38.0,1,52.51,1.14,17.34,,11.21,,,0.11,3.44,8.09,3.71,0.45,0.33,,,,,1.46,99.805,5.8,61,19,37.0,23,0.7,69,4.24,2.44,1.08,22,3.46,2.8,1.16,7,0.52,5,17,14,4,2.24,18,31,3.41,264.0,0.08,0.8,2,0.51,1,315.0,32.0,2.53,108.0,102,,,,,,,,,,0.1669,0.513101,9e-06,,,,,,,,,,40.0,,0.513057,,,,,,,,145.0,2,164.09034391160125,-16.333473454288757,2.0,861.0,18.100000381469727,5.659230737364851e-06,1.8038782400253695e-05,7.514256139984354e-06,7.688282948947744e-06,3.0377319490071386e-05,1.7808622942538932e-05,5.127747543156147e-06,3.7929908836348262e-06,450.0,93.00736999511719,43.100074768066406,108648.0625,0.10379049181938171,33.72367549749992
106537,INS R (R),3747,Allochthon,Surface,,,,N63/500,1980-01-01 00:00:00,Decade,"Watters, W.A.",New Zealand,Z14,2979700.00000251,6386600.00004314,-37.5999376269416,178.319105719064,,50.0,south of Hicks Bay,Yes,Basaltic lava,,Matakaoa Volcanic Group,Matakaoa Volcanics,basaltic & lava flow,Miocene,Cretaceous,hand specimen,1622,whole rock,,15865,"Adams, C.J.",geochron methods,K-Ar,INS,R3747,"January 1, 2000",Decade,Nathan et al. 2000,,,58.75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,2,178.8315695060701,-37.924607012463746,2.0,8064.0,119.84654998779297,8.811563930066768e-06,1.6304336895700544e-05,3.7295221773092635e-06,8.210659871110693e-06,4.7457474465772975e-06,2.157818653358845e-05,0.0,3.7804141364561356e-06,350.0,92.30072021484375,51.579288482666016,108514.7890625,0.145481139421463,35.77960004805851
211101,GNS P (P),81396,Horomaka,Dredge,MD153-3,,,MD153-DR03-D1,38766,,Geoscience Australia,Offshore Regions,,,,-28.4219373885705,162.78991746191,,500.0,"Lord Howe Rise, volcano on splay off Vening Meinesz fault scarp",Yes,"Trachytic lava, sparse small plag, biot, hbl mt phenos",5.0 Y 7/2,,,trachytic,Pliocene,Cretaceous,hand specimen & powder,8187,whole rock,,99878;99958,"Mortimer, N.;Mortimer, N.",XRF;ICP-MS fused bead,U-Pb zircon,WSU;WSU,0212MOR;MOR326,"January 10, 2013;January 20, 2013",;,Higgins et al 2011 AJES,,SHRIMP with TEMORA-2 standard,96.9,0.7,72.17,0.28,14.13,2.0,,,,0.07,0.58,0.68,2.9,5.29,0.1,,,,,1.56,98.19,,846,49.96,,6,2.39,18,2.49,1.45,0.75,14,2.65,5.23,0.5,23.07,0.26,7.94,18.45,7,11.05,5.11,122.2,3.4,3.39,181.0,0.64,0.41,11.39,0.23,1.91,38.0,13.44,1.55,55.0,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,2,162.46219150946084,-29.305343408963243,2.0,869.0,64.95922088623047,7.670294507988729e-06,0.0001531427378722583,4.644880846171873e-06,8.386326726395055e-05,1.8287248167325743e-05,6.303670625129598e-05,0.0,0.00011229193827110422,1060.0,38.33081817626953,29.023096084594727,499213.21875,0.04813104867935181,43.913183067209246
200429,other,SO168-DR12-01,Horomaka,Dredge,Sonne 168-12,,,SO168-DR12-01,2002-12-25 00:00:00,Month,"Hauff, F. & Hoernle, K. & Werner, R.",Offshore Regions,,,,-40.4169,179.4364,,50.0,"Moore Seamount, upper half of NE flank",Yes,Basalt - Hikurangi Seamounts (HIMU),,,,basaltic,Cretaceous,Cretaceous,hand specimen & normal thin section,6479,whole rock,,78015;77979,"Hoernle, K.;Hoernle, K.",ICP-MS;XRF,Ar-Ar plag,Kiel U;Kiel U,;,"January 1, 2010;January 1, 2010",Year;Year,Hoernle et al 2010,,,98.7,0.7,51.8,1.98,18.09,,,10.09,,0.14,1.65,5.79,4.42,3.37,0.88,,1.85,,0.07,,100.13,,841,174,7.77,1.41,1.16,15.3,8.37,3.96,4.06,26.1,11.8,11.5,1.53,86.8,0.493,114,75.3,20.2,4.87,20.7,47.7,4.64,13.2,872.0,6.73,1.56,10.5,0.545,1.8,56.6,40.0,3.45,130.0,509,,,,,,,0.158,0.702873,5.0,0.105,0.512827,2.0,0.006,0.282807,9.0,20.559,1.0,15.721,1.0,40.306,1.0,99000000.0,0.70265,0.51276,4.84,0.282795,3.06,20.18,15.73,39.58,,145.0,2,-179.5462727568918,-40.84453267093876,2.0,983.0,121.70500946044922,9.019401659315918e-06,8.352408804057632e-05,3.7292702472768724e-06,4.0309290852746926e-05,0.0001000629854388535,6.32912360742921e-05,0.0,2.9910142203452518e-05,120.0,103.22799682617188,27.764972686767578,220171.6875,0.028293054550886154,4.778323740463495
107305,other,JJS-d,Horomaka,Surface,,,,,32509,Decade,"Stipp, J.J.",New Zealand,R15,2677100.00000082,6364700.00003821,-37.9068563840958,174.897885958449,,50.0,Bridal Veil Falls,Yes,basanite,,Okete Volcanic Formation,Alexandra Volcanics,basanitic,Pliocene,Pliocene,,1715,whole rock,,16937,"Stipp, J.J.",geochron methods,K-Ar,ANU,,"January 1, 1989",Decade,Briggs et al. 1989,,,2.57,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,3,174.90094069925325,-38.792917740330715,3.0,8065.0,22.502696990966797,5.919078830629587e-06,8.283311717605102e-05,4.648270987672731e-06,5.175094838705263e-05,4.843127953790827e-06,0.00013398714781942545,0.0,2.1614600412146094e-05,140.0,84.82726287841797,33.14936447143555,106883.046875,0.055983658879995346,42.82027190996857
169569,other,LHI-H10,Lord Howe,,,,,H10,1979-01-01 00:00:00,Decade,"McDougall, I.",Australia,,,,-31.5125,159.0445,,100.0,Old Gulch,Yes,Basalt,,,,basaltic,Pliocene,Miocene,hand specimen,39217,whole rock,average of 2,44690,"McDougall, I.",,,,,,,,,,6.93,0.39,50.91,2.52,14.58,,,2.88,7.54,0.18,4.9,10.56,2.78,0.93,0.4,,,,,1.99,100.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,3,158.56471229775536,-32.895696496686064,3.0,869.0,70.79637145996094,8.098118087218609e-06,5.524185462491005e-05,4.574858849082375e-06,4.703063314082101e-05,1.7967266103369184e-05,4.841610325456713e-05,0.0,5.4307663644803445e-05,1060.0,14.342095375061035,23.584623336791992,115198.8515625,0.018602605909109116,63.798180421094536
212400,GNS P (P),82224,Smt Chain Lord Howe,Dredge,SS2012v6-16,,,SS2012v6 DR16Aiv,41229,,"ECOSAT & Mortimer, N. & R/V Southern Surveyor",Offshore Regions,,,,-18.708260446958,158.368823245001,,500.0,"Chesterfield Plateau, NE side",Yes,"Medium brown-grey amygdaloidal, sparsely olivine-porphyritic basalt. Olivine all altered to red clay.",,,,basaltic & altered volcanic,Pliocene,Cretaceous,hand specimen & polished thin section & mineral separate & powder,8311,whole rock,,101513;107590,"Mortimer, N.;Mortimer, N.",ICP-MS fused bead;XRF,Ar-Ar matrix,WSU;WSU,;0113aMOR,"January 7, 2014;January 9, 2014",;,Mortimer et al 2018 GSLSP 463,,Low quality,23.0,,45.97,2.02,15.11,,11.85,,,0.15,5.22,10.69,2.7,1.44,0.87,,,,,3.98,100.0,,65.5,25.8,,341.2,0.53,115,8.13,3.9,2.86,16.7,9.37,3.11,1.61,29.2,0.43,13.7,39.9,139.4,0.9,7.43,22.5,34.2,8.49,293.1,1.59,1.4,0.6,0.51,1.4,300.0,53.3,2.79,134.1,109.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,3,157.6532714273513,-20.102738281520043,3.0,861.0,77.26041412353516,8.486847946187481e-06,8.53992401061987e-05,4.527560122369323e-06,7.642529817530885e-05,6.067652975616511e-06,0.0001774966422090074,0.0,3.7023206549570295e-05,580.0,35.35520935058594,28.376789093017578,180853.375,0.04555824398994446,38.55124780291103
